level1,level2,level3,level3_weight,keywords
海洋自然意识,海洋科普意识,海洋地质地理,1.666666667,巴拿马运河、北冰洋、波斯湾、渤海、大陆漂移、大西洋、东海、黄海、马六甲海峡、南海、南沙群岛、太平洋、西沙群岛、印度洋
海洋自然意识,海洋科普意识,物理海洋,1.666666667,潮汐、厄尔尼诺、海浪、海水的密度、拉尼娜、洋流
海洋自然意识,海洋科普意识,海洋化学,1.666666667,反渗透技术、海水淡化、海盐、可燃冰、锰结核、溴
海洋自然意识,海洋科研意识,科学考察,2.5,大洋一号、海龙号、蛟龙号、南极泰山站、雪龙号、远望号、长城站
海洋自然意识,海洋科研意识,科研成果,2.5,反渗透法、海洋大学、遥感技术
海洋自然意识,海洋生态意识,环境污染与防治,2.5,赤潮、海水污染、海洋污染
海洋自然意识,海洋生态意识,生态破坏与保护,2.5,红树林、人工鱼礁、珊瑚礁、休渔
海洋自然意识,海洋减灾意识,海洋灾害状况,2.5,风暴潮、海啸、寒潮、飓风、离岸流、台风
海洋自然意识,海洋减灾意识,灾害预警与防护,2.5,海平面上升、印度尼西亚海啸
海洋自然意识,海上安全意识,海难事故,2.5,沉没、触礁、东方之星、搁浅、古斯特洛夫号、泰坦尼克号
海洋自然意识,海上安全意识,救生措施,2.5,救生舱、救生船、救生筏、救生衣
海洋经济意识,海洋生产意识,经济概况,2.5,滨海旅游、海洋经济、渔业、造船业
海洋经济意识,海洋生产意识,海洋产业,2.5,滨海旅游区、海水淡化、海洋工程、盐业
海洋经济意识,海洋消费意识,物质产品消费,2.5,海产品、海水珍珠、海鲜、海鲜大排档
海洋经济意识,海洋消费意识,非物质消费,2.5,海岛旅游、海南旅游、青岛旅游、三亚旅游、厦门旅游、舟山旅游
海洋经济意识,海洋资源意识,空间资源,1.25,海岸线、海岛、海湾、海域、湿地
海洋经济意识,海洋资源意识,生物资源,1.25,带鱼、海带、海苔、南极磷虾、鱿鱼、紫菜
海洋经济意识,海洋资源意识,矿产资源,1.25,海洋石油、可燃冰、锰结核
海洋经济意识,海洋资源意识,可再生能源,1.25,波浪、潮汐能、海浪、可再生能源
海洋经济意识,海洋开发意识,海洋空间开发,1.25,迪拜人工岛、人工岛、棕榈岛
海洋经济意识,海洋开发意识,海洋生物及医药资源开发技术,1.25,海参、乌贼骨、鱼肝油
海洋经济意识,海洋开发意识,矿产资源开发与海洋工程技术,1.25,港口、海底隧道、海上钻井平台、跨海大桥、中海油、海洋工程
海洋经济意识,海洋开发意识,海水综合利用与海洋能,1.25,海水淡化设备、海水稻、海水晶、海水淡化
海洋文化意识,海洋历史意识,世界航海史,1.666666667,达伽马、发现新大陆、哥伦布、好望角、麦哲伦、南极探险
海洋文化意识,海洋历史意识,我国重大海洋活动,1.666666667,甲午海战、罗盘、下南洋、徐福、郑和、郑和下西洋、指南针
海洋文化意识,海洋历史意识,海上丝绸之路,1.666666667,瓷器、海上丝绸之路、泉州、丝绸
海洋文化意识,海洋民俗意识,海神信仰,2.5,波塞冬、海神、龙王庙、妈祖、水阙仙班、四海龙王
海洋文化意识,海洋民俗意识,节庆文化,2.5,开渔节、青岛海洋节、世界海洋日、中国航海日
海洋文化意识,海洋文艺意识,文学作品,2.5,八仙过海、观沧海、海底两万里、精卫填海、浪淘沙 北戴河、鲁滨逊漂流记、面朝大海
海洋文化意识,海洋文艺意识,艺术创作,2.5,大海啊故乡、海贼王、南海风云、外婆的澎湖湾、我爱这蓝色的海洋、悉尼歌剧院
海洋文化意识,海洋文化遗产保护意识,非物质文化遗产保护,2.5,海洋传说、龙的传说、哪吒闹海
海洋文化意识,海洋文化遗产保护意识,物质文化遗产保护,2.5,大沽口炮台、南澳一号、南海一号、致远舰、中山舰
海洋文化意识,海洋教育意识,学校教育,1.666666667,大连海事大学、海洋大学、海洋知识竞赛、中国海洋大学
海洋文化意识,海洋教育意识,社会教育,1.666666667,海洋公园、海洋馆、海洋世界、文化馆
海洋文化意识,海洋教育意识,宣教活动,1.666666667,开渔节、游艇展
海洋政治意识,国际规则意识,国际条约,2.5,波茨坦公告、开罗宣言、联合国海洋法公约、南极条约
海洋政治意识,国际规则意识,国际活动,2.5,北极理事会、国际海事组织、国际海洋法法庭
海洋政治意识,海洋权益意识,国家管辖海域,2.5,东海大陆架、领海基线、南海岛礁、南海地图、专属经济区
海洋政治意识,海洋权益意识,国家管辖范围以外海域,2.5,北极、公海、南极
海洋政治意识,海洋外交意识,外交政策与主张,2.5,搁置争议、南海各方行为宣言、南海宣言、一带一路
海洋政治意识,海洋外交意识,外交事件,2.5,钓鱼岛、钓鱼岛国有化、钓鱼岛争端、黄岩岛事件、南海、南海仲裁案
海洋政治意识,海洋国防意识,军事力量,2.5,北海舰队、东海舰队、海军、航空母舰、护卫舰、辽宁号、南海舰队、潜艇、驱逐舰、三大舰队、巡洋舰、中国海军
海洋政治意识,海洋国防意识,军事行动,2.5,东海军演、海军演习、黄海军演、南海军演、亚丁湾护航
海洋政治意识,海洋法律意识,法律法规,2.5,港口法、海岛保护法、海洋环境保护法、海域使用管理法、渔业法
海洋政治意识,海洋法律意识,守法行为,2.5,保护海洋、海砂、红珊瑚
海洋政治意识,海洋管理意识,管理机构,2.5,国家海洋局、国家海洋信息中心、海事局、海洋局
海洋政治意识,海洋管理意识,管理活动,2.5,海洋环境保护、海域使用论证、海域使用权
